Uniq.ID,Uniq.HH.ID,HHM.Gndr,HH.Inc.,Village,Spouse.Uniq.ID.,Mari.Yr.,Mari.stat.2,Kidnap.Y.N.2,Know.Spouse.Y.N.2,marriage_ID,age_cohort,mari_yr_cohort_2,HHM.Edu.2
V1AY00101,V1_AY_1,0,2,V1,V1AY00102,1992,1,0,0,V1AY00101_V1AY00102,50 - 60,1990 - 2000,1
V1AY00102,V1_AY_1,1,2,V1,V1AY00101,1992,1,2,1,V1AY00101_V1AY00102,50 - 60,1990 - 2000,1
V1AY00202,V1_AY_2,1,2,V1,V1AY00203,2009,1,2,2,V1AY00202_V1AY00203,30 - 40,2000 - 2010,1
V1AY00203,V1_AY_2,0,2,V1,V1AY00202,2008,1,2,2,V1AY00202_V1AY00203,30 - 40,2000 - 2010,1
V1AY00301,V1_AY_3,0,2,V1,NA,NA,3,2,1,V1AY00301_NA,50 - 60,NA,1
V1AY00303,V1_AY_3,0,2,V1,V1AY00302,2018,1,2,2,V1AY00302_V1AY00303,20 - 30,2010 - 2020,1
V1AY00402,V1_AY_4,0,2,V1,NA,1979,3,0,0,V1AY00402_NA,40 - 50,1970 - 1980,1
V1AY00501,V1_AY_5,0,2,V1,V1AY00502,1979,1,0,1,V1AY00501_V1AY00502,60 - 70,1970 - 1980,1
V1AY00502,V1_AY_5,1,2,V1,V1AY00501,1979,1,0,2,V1AY00501_V1AY00502,60 - 70,1970 - 1980,0
V1AY00601,V1_AY_6,0,1,V1,V1AY00602,1993,1,0,0,V1AY00601_V1AY00602,50 - 60,1990 - 2000,1
V1AY00602,V1_AY_6,1,1,V1,V1AY00601,1993,1,0,0,V1AY00601_V1AY00602,50 - 60,1990 - 2000,1
V1AY00701,V1_AY_7,1,2,V1,V1AY00702,1989,1,1,1,V1AY00701_V1AY00702,50 - 60,1980 - 1990,1
V1AY00702,V1_AY_7,0,2,V1,V1AY00701,1989,1,1,1,V1AY00701_V1AY00702,50 - 60,1980 - 1990,1
V1AY00901,V1_AY_9,0,1,V1,V1AY00902,1989,1,0,2,V1AY00901_V1AY00902,50 - 60,1980 - 1990,1
V1AY01001,V1_AY_10,1,1,V1,V1AY01002,1980,1,2,2,V1AY01001_V1AY01002,60 - 70,1980 - 1990,1
V1AY01002,V1_AY_10,0,1,V1,V1AY01001,1980,1,2,2,V1AY01001_V1AY01002,60 - 70,1980 - 1990,1
V1AY01101,V1_AY_11,1,2,V1,V1AY01102,1996,1,1,2,V1AY01101_V1AY01102,40 - 50,1990 - 2000,1
V1AY01102,V1_AY_11,0,2,V1,V1AY01101,1996,1,1,2,V1AY01101_V1AY01102,40 - 50,1990 - 2000,1
V1AY01201,V1_AY_12,0,2,V1,V1AY01202,2004,1,2,2,V1AY01201_V1AY01202,40 - 50,2000 - 2010,1
