Uniq.ID,Uniq.HH.ID,HHM.Gndr,HH.Inc.,Village.x,Spouse.Uniq.ID.,marriage_ID,Kidnap.Y.N.2,Know.Spouse.Y.N.2,mari_yr_cohort_2,HHM.Edu.2,Mother.ID,Child.MI.Mother.2,Child.MI.Mother.3,Father.ID,Child.MI.Father.2,Child.MI.Father.3
V1AY00101,V1_AY_1,0,2,V1,V1AY00102,V1AY00101_V1AY00102,0,0,1990 - 2000,1,NA,NA,NA,NA,NA,NA
V1AY00102,V1_AY_1,1,2,V1,V1AY00101,V1AY00101_V1AY00102,2,1,1990 - 2000,1,NA,NA,NA,NA,NA,NA
V1AY00202,V1_AY_2,1,2,V1,V1AY00203,V1AY00202_V1AY00203,2,2,2000 - 2010,1,NA,NA,NA,NA,NA,NA
V1AY00203,V1_AY_2,0,2,V1,V1AY00202,V1AY00202_V1AY00203,2,2,2000 - 2010,1,NA,NA,NA,NA,NA,NA
V1AY00301,V1_AY_3,0,2,V1,NA,V1AY00301_NA,2,1,NA,1,NA,NA,NA,NA,NA,NA
V1AY00302,V1_AY_3,NA,NA,NA,V1AY00303,V1AY00302_V1AY00303,NA,NA,NA,NA,V1AY00301,2,1,NA,NA,NA
V1AY00303,V1_AY_3,0,2,V1,V1AY00302,V1AY00302_V1AY00303,2,2,2010 - 2020,1,NA,NA,NA,NA,NA,NA
V1AY00305,V1_AY_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,V1AY00301,2,1,NA,NA,NA
V1AY00306,V1_AY_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,V1AY00301,NA,NA,NA,NA,NA
V1AY00402,V1_AY_4,0,2,V1,NA,V1AY00402_NA,0,0,1970 - 1980,1,NA,NA,NA,NA,NA,NA
V1AY00501,V1_AY_5,0,2,V1,V1AY00502,V1AY00501_V1AY00502,0,1,1970 - 1980,1,NA,NA,NA,NA,NA,NA
V1AY00502,V1_AY_5,1,2,V1,V1AY00501,V1AY00501_V1AY00502,0,2,1970 - 1980,0,NA,NA,NA,NA,NA,NA
V1AY00503,V1_AY_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,V1AY00501,NA,NA,V1AY00502,NA,NA
V1AY00504,V1_AY_5,0,NA,NA,NA,NA,NA,NA,NA,NA,V1AY00501,2,1,V1AY00502,0,0
V1AY00601,V1_AY_6,0,1,V1,V1AY00602,V1AY00601_V1AY00602,0,0,1990 - 2000,1,NA,NA,NA,NA,NA,NA
V1AY00602,V1_AY_6,1,1,V1,V1AY00601,V1AY00601_V1AY00602,0,0,1990 - 2000,1,NA,NA,NA,NA,NA,NA
V1AY00701,V1_AY_7,1,2,V1,V1AY00702,V1AY00701_V1AY00702,1,1,1980 - 1990,1,NA,NA,NA,NA,NA,NA
V1AY00702,V1_AY_7,0,2,V1,V1AY00701,V1AY00701_V1AY00702,1,1,1980 - 1990,1,NA,NA,NA,NA,NA,NA
V1AY00901,V1_AY_9,0,1,V1,V1AY00902,V1AY00901_V1AY00902,0,2,1980 - 1990,1,NA,NA,NA,NA,NA,NA
V1AY00902,V1_AY_9,1,1,V1,V1AY00901,V1AY00901_V1AY00902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V1AY01001,V1_AY_10,1,1,V1,V1AY01002,V1AY01001_V1AY01002,2,2,1980 - 1990,1,NA,NA,NA,NA,NA,NA
V1AY01002,V1_AY_10,0,1,V1,V1AY01001,V1AY01001_V1AY01002,2,2,1980 - 1990,1,NA,NA,NA,NA,NA,NA
V1AY01101,V1_AY_11,1,2,V1,V1AY01102,V1AY01101_V1AY01102,1,2,1990 - 2000,1,NA,NA,NA,NA,NA,NA
V1AY01102,V1_AY_11,0,2,V1,V1AY01101,V1AY01101_V1AY01102,1,2,1990 - 2000,1,NA,NA,NA,NA,NA,NA
V1AY01103,V1_AY_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,V1AY01101,2,1
V1AY01104,V1_AY_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,V1AY01102,NA,NA,V1AY01101,NA,NA
V1AY01105,V1_AY_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,V1AY01102,NA,NA,V1AY01101,NA,NA
