Sib.ID,reporter.ID,reporter.Gndr,Sib.Gndr.by.reporter,Sib.SR.Gndr,Sib.YOB.by.reporter,Sib.SR.YOB,Sib.MT.2.by.reporter,Sib.SR.MT.2,Sib.SR.MT.3
V1AY01502,V1YX00401,0,1,1,1971,1971,2,2,1
V1NH00501,V1OC01501,0,1,1,1963,1963,1,1,0
V1NH00501,V1NHXXX07,1,1,1,1966,1963,2,1,0
V1NH01101,V1YX01904,0,0,0,1998,1998,2,2,1
V1NH01103,V1OC03601,1,1,1,1968,1968,1,1,0
V1NH01103,V1OC02303,1,1,1,1968,1968,0,1,0
V1NH01502,V1OC01201,1,0,0,1974,1974,2,1,0
V1NH01702,V1OC00408,1,1,1,1966,1968,2,2,1
V1NH02201,V1OC02602,1,1,1,1961,1960,NA,0,0
V1NH02402,V1OC07501,1,1,1,1957,1957,1,2,1
V1NHXXX07,V1OC01501,0,1,1,1961,1960,1,0,0
V1NHXXX07,V1NH00501,1,1,1,1960,1960,0,0,0
V1NHXXX10,V1OC05903,1,1,1,1965,1965,0,0,0
V1NHXXX10,V1OCXXX08,1,1,1,1965,1965,2,0,0
V1NHXXX21,V1OC06503,1,1,1,1957,1957,1,2,1
V1NHXXX48,V1YX00201,1,0,0,1975,1975,NA,0,0
V1NHXXX64,V1AY01001,1,1,1,1964,1964,2,0,0
V1OC00401,V1YX01402,0,0,0,1988,1988,2,0,0
V1OC00408,V1NH01702,1,1,1,1957,1954,0,0,0
V1OC00502,V1YX00303,1,1,1,1987,1987,2,1,0
V1OC01002,V1OC01103,0,0,0,1976,1976,2,0,0
V1OC01302,V1YX00802,0,1,1,1968,1968,0,0,0
V1OC01501,V1NH00501,1,0,0,1966,1966,0,2,1
V1OC02303,V1OC03601,1,1,1,1955,1955,0,0,0
V1OC02602,V1NH02201,1,1,1,1970,1971,2,1,0
V1OC02702,V1OC06601,1,1,1,1969,1969,1,0,0
V1OC02801,V1OC01502,1,1,1,1964,1964,NA,0,0
V1OC03002,V1OC03003,1,1,1,1974,1974,2,2,1
V1OC03601,V1NH01103,1,1,1,1965,1965,1,1,0
V1OC03601,V1OC02303,1,1,1,1965,1965,0,1,0
V1OC05302,V1YX00802,0,1,1,1972,1972,2,2,1
V1OC05701,V1OC05502,1,1,1,1983,1983,1,2,1
V1OC05903,V1NHXXX10,1,1,1,1959,1959,2,0,0
V1OC05903,V1OCXXX08,1,1,1,1959,1959,0,0,0
V1OC06001,V1OC07101,0,0,0,1980,1980,0,0,0
V1OC06002,V1OC08902,1,1,1,1968,1969,NA,0,0
