Uniq.ID,Mother.ID,Child.Gndr,Child.mother.ID,marriage.info.,source
V1AY01403,V1AY01401,1,V1AY01403_V1AY01401,0,SR
V1NH00401,V1NH00406,1,V1NH00401_V1NH00406,2,SR
V1NH01901,V1OC06803,0,V1NH01901_V1OC06803,2,SR
V1NH02002,V1NH02001,1,V1NH02002_V1NH02001,2,SR
V1NHXXX37,V1AY01002,1,V1NHXXX37_V1AY01002,2,SR
V1OC00901,V1OC00904,1,V1OC00901_V1OC00904,1,SR
V1OC02301,V1OC02304,1,V1OC02301_V1OC02304,2,SR
V1OC03002,V1OC03001,1,V1OC03002_V1OC03001,2,SR
V1OC03802,V1YX01002,1,V1OC03802_V1YX01002,0,SR
V1OC04902,V1OCXXX15,1,V1OC04902_V1OCXXX15,0,SR
V1OC06804,V1OC06803,1,V1OC06804_V1OC06803,2,SR
V1OC07002,V1YX01706,1,V1OC07002_V1YX01706,1,SR
V1OC07701,V1OC07703,1,V1OC07701_V1OC07703,2,SR
V1OC07804,V1OC08701,0,V1OC07804_V1OC08701,2,SR
V1OC08103,V1OC08101,1,V1OC08103_V1OC08101,2,SR
V1OC08201,V1OC08202,1,V1OC08201_V1OC08202,2,SR
V1OC08502,V1OC02401,0,V1OC08502_V1OC02401,2,SR
V1YX00101,V1OC08202,0,V1YX00101_V1OC08202,0,SR
V1YX00801,V1YX00804,1,V1YX00801_V1YX00804,1,SR
V1YX01701,V1YX01706,1,V1YX01701_V1YX01706,0,SR
V1YX01903,V1YX01902,1,V1YX01903_V1YX01902,1,SR
V2AA00101,V2AA00103,1,V2AA00101_V2AA00103,0,SR
V2NH00101,V2NH00802,1,V2NH00101_V2NH00802,0,SR
V2NH00403,V2NH00402,1,V2NH00403_V2NH00402,0,SR
V2NH00503,V2NH00501,1,V2NH00503_V2NH00501,2,SR
V2NH00803,V2NH00802,1,V2NH00803_V2NH00802,1,SR
V2NH01304,V2NH01302,1,V2NH01304_V2NH01302,2,SR
V2NH01402,V2NH04402,0,V2NH01402_V2NH04402,2,SR
V2NH01501,V2NH01502,1,V2NH01501_V2NH01502,2,SR
V2NH02001,V2NH02003,1,V2NH02001_V2NH02003,1,SR
V2NH02402,V2NH04402,0,V2NH02402_V2NH04402,2,SR
V2NH02602,V2NH02607,0,V2NH02602_V2NH02607,0,SR
V2NH02902,V2NH00602,0,V2NH02902_V2NH00602,0,SR
V2NH03001,V2AA00103,1,V2NH03001_V2AA00103,0,SR
V2NH03103,V2NH03102,1,V2NH03103_V2NH03102,0,SR
V2NH03303,V2NH03302,1,V2NH03303_V2NH03302,2,SR
V2NH03604,V2NH03601,1,V2NH03604_V2NH03601,2,SR
V2NH03701,V2AA00103,1,V2NH03701_V2AA00103,0,SR
V2NH04403,V2NH04402,1,V2NH04403_V2NH04402,2,SR
V2NH04703,V2NH04702,1,V2NH04703_V2NH04702,1,SR
V2NH05301,V2NH03702,1,V2NH05301_V2NH03702,2,SR
V2NH05503,V2NH05502,1,V2NH05503_V2NH05502,2,SR
V2NH05901,V2NH05903,1,V2NH05901_V2NH05903,0,SR
V2NH06001,V2NH03902,1,V2NH06001_V2NH03902,2,SR
V2NH06103,V2NH06102,1,V2NH06103_V2NH06102,2,SR
V2NH06304,V2NH00402,0,V2NH06304_V2NH00402,2,SR
V2NH07103,V2NH07102,1,V2NH07103_V2NH07102,0,SR
V2NH07603,V2NH07602,1,V2NH07603_V2NH07602,2,SR
V2NH07604,V2NH05702,0,V2NH07604_V2NH05702,2,SR
V2NH08201,V2NH04402,1,V2NH08201_V2NH04402,0,SR
V2ZH00101,V2NH03102,1,V2ZH00101_V2NH03102,1,SR
V1AY01403,V1AY01401,1,V1AY01403_V1AY01401,2,MR
V1NH00401,V1NH00406,1,V1NH00401_V1NH00406,2,MR
V1NH01901,V1OC06803,0,V1NH01901_V1OC06803,2,MR
V1NH02002,V1NH02001,1,V1NH02002_V1NH02001,1,MR
V1NHXXX37,V1AY01002,1,V1NHXXX37_V1AY01002,1,MR
V1OC00901,V1OC00904,1,V1OC00901_V1OC00904,0,MR
V1OC02301,V1OC02304,1,V1OC02301_V1OC02304,2,MR
V1OC03002,V1OC03001,1,V1OC03002_V1OC03001,2,MR
V1OC03802,V1YX01002,1,V1OC03802_V1YX01002,0,MR
V1OC04902,V1OCXXX15,1,V1OC04902_V1OCXXX15,1,MR
V1OC06804,V1OC06803,1,V1OC06804_V1OC06803,2,MR
V1OC07002,V1YX01706,1,V1OC07002_V1YX01706,2,MR
V1OC07701,V1OC07703,1,V1OC07701_V1OC07703,2,MR
V1OC07804,V1OC08701,0,V1OC07804_V1OC08701,2,MR
