Uniq.ID,Father.ID,Child.Gndr,Child.father.ID,marriage.info.,source
V1AY01403,V1AY01402,1,V1AY01403_V1AY01402,0,SR
V1NH00401,V1NH00405,1,V1NH00401_V1NH00405,2,SR
V1NH01102,V1NH01103,1,V1NH01102_V1NH01103,2,SR
V1NHXXX37,V1AY01001,1,V1NHXXX37_V1AY01001,2,SR
V1OC00502,V1YX00301,1,V1OC00502_V1YX00301,1,SR
V1OC02301,V1OC02303,1,V1OC02301_V1OC02303,2,SR
V1OC03802,V1YX01001,1,V1OC03802_V1YX01001,0,SR
V1OC04902,V1NHXXX85,1,V1OC04902_V1NHXXX85,0,SR
V1OC06201,V1NHXXX21,1,V1OC06201_V1NHXXX21,2,SR
V1OC07803,V1OC07802,1,V1OC07803_V1OC07802,2,SR
V1OC08103,V1OC08102,1,V1OC08103_V1OC08102,2,SR
V1OC08401,V1OC08403,1,V1OC08401_V1OC08403,0,SR
V1OC08502,V1OC02402,0,V1OC08502_V1OC02402,2,SR
V1YX00801,V1YX00803,1,V1YX00801_V1YX00803,1,SR
V1YX01903,V1YX01901,1,V1YX01903_V1YX01901,1,SR
V2NH00101,V2NH00801,1,V2NH00101_V2NH00801,0,SR
V2NH00403,V2NH00401,1,V2NH00403_V2NH00401,0,SR
V2NH00803,V2NH00801,1,V2NH00803_V2NH00801,1,SR
V2NH01304,V2NH01301,1,V2NH01304_V2NH01301,2,SR
V2NH01402,V2NH04401,0,V2NH01402_V2NH04401,2,SR
V2NH01701,V2NH03801,1,V2NH01701_V2NH03801,0,SR
V2NH01701,V2NH03801,1,V2NH01701_V2NH03801,0,SR
V2NH02902,V2NH00601,0,V2NH02902_V2NH00601,0,SR
V2NH03103,V2NH03101,1,V2NH03103_V2NH03101,0,SR
V2NH03303,V2NH03301,1,V2NH03303_V2NH03301,2,SR
V2NH04403,V2NH04401,1,V2NH04403_V2NH04401,2,SR
V2NH04703,V2NH04701,1,V2NH04703_V2NH04701,1,SR
V2NH05301,V2NH03701,1,V2NH05301_V2NH03701,2,SR
V2NH05503,V2NH05501,1,V2NH05503_V2NH05501,2,SR
V2NH06001,V2NH03901,1,V2NH06001_V2NH03901,2,SR
V2NH06103,V2NH06101,1,V2NH06103_V2NH06101,2,SR
V2NH06304,V2NH00401,0,V2NH06304_V2NH00401,2,SR
V2NH07103,V2NH07101,1,V2NH07103_V2NH07101,0,SR
V2NH07603,V2NH07601,1,V2NH07603_V2NH07601,2,SR
V2NH07604,V2NH05701,0,V2NH07604_V2NH05701,2,SR
V2NH08201,V2NH04401,1,V2NH08201_V2NH04401,0,SR
V2NH08502,V2NH08501,1,V2NH08502_V2NH08501,0,SR
V2ZH00101,V2NH03101,1,V2ZH00101_V2NH03101,1,SR
V1AY01402,V1AY01402,1,V1AY01403_V1AY01402,0,FR
V1NH00405,V1NH00405,1,V1NH00401_V1NH00405,2,FR
V1NH01103,V1NH01103,1,V1NH01102_V1NH01103,2,FR
V1AY01001,V1AY01001,1,V1NHXXX37_V1AY01001,2,FR
V1YX00301,V1YX00301,1,V1OC00502_V1YX00301,2,FR
V1OC02303,V1OC02303,1,V1OC02301_V1OC02303,2,FR
V1YX01001,V1YX01001,1,V1OC03802_V1YX01001,1,FR
V1NHXXX85,V1NHXXX85,1,V1OC04902_V1NHXXX85,1,FR
V1NHXXX21,V1NHXXX21,1,V1OC06201_V1NHXXX21,2,FR
V1OC07802,V1OC07802,1,V1OC07803_V1OC07802,2,FR
V1OC08102,V1OC08102,1,V1OC08103_V1OC08102,2,FR
V1OC08403,V1OC08403,1,V1OC08401_V1OC08403,1,FR
V1OC02402,V1OC02402,0,V1OC08502_V1OC02402,2,FR
V1YX00803,V1YX00803,1,V1YX00801_V1YX00803,1,FR
V1YX01901,V1YX01901,1,V1YX01903_V1YX01901,2,FR
V2NH00801,V2NH00801,1,V2NH00101_V2NH00801,1,FR
V2NH00401,V2NH00401,1,V2NH00403_V2NH00401,2,FR
V2NH00801,V2NH00801,1,V2NH00803_V2NH00801,1,FR
V2NH01301,V2NH01301,1,V2NH01304_V2NH01301,2,FR
V2NH04401,V2NH04401,0,V2NH01402_V2NH04401,2,FR
V2NH03801,V2NH03801,1,V2NH01701_V2NH03801,1,FR
V2NH03801,V2NH03801,1,V2NH01701_V2NH03801,1,FR
V2NH00601,V2NH00601,0,V2NH02902_V2NH00601,0,FR
V2NH03101,V2NH03101,1,V2NH03103_V2NH03101,2,FR
V2NH03301,V2NH03301,1,V2NH03303_V2NH03301,2,FR
V2NH04401,V2NH04401,1,V2NH04403_V2NH04401,2,FR
V2NH04701,V2NH04701,1,V2NH04703_V2NH04701,2,FR
V2NH03701,V2NH03701,1,V2NH05301_V2NH03701,2,FR
V2NH05501,V2NH05501,1,V2NH05503_V2NH05501,2,FR
V2NH03901,V2NH03901,1,V2NH06001_V2NH03901,2,FR
V2NH06101,V2NH06101,1,V2NH06103_V2NH06101,2,FR
V2NH00401,V2NH00401,0,V2NH06304_V2NH00401,2,FR
V2NH07101,V2NH07101,1,V2NH07103_V2NH07101,2,FR
V2NH07601,V2NH07601,1,V2NH07603_V2NH07601,1,FR
V2NH05701,V2NH05701,0,V2NH07604_V2NH05701,2,FR
V2NH04401,V2NH04401,1,V2NH08201_V2NH04401,1,FR
V2NH08501,V2NH08501,1,V2NH08502_V2NH08501,0,FR
V2NH03101,V2NH03101,1,V2ZH00101_V2NH03101,2,FR
