Uniq.ID,reporter.ID,marriage.info.,source,Gndr
V1NH00501,V1NHXXX07,1,SR,1
V1NH01103,V1OC03601,1,SR,1
V1NH01103,V1OC02303,1,SR,1
V1NH01502,V1OC01201,1,SR,0
V1NH01702,V1OC00408,2,SR,1
V1NH02402,V1OC07501,2,SR,1
V1NHXXX07,V1NH00501,0,SR,1
V1NHXXX10,V1OC05903,0,SR,1
V1NHXXX10,V1OCXXX08,0,SR,1
V1NHXXX21,V1OC06503,2,SR,1
V1NHXXX64,V1AY01001,0,SR,1
V1OC00408,V1NH01702,0,SR,1
V1OC00502,V1YX00303,1,SR,1
V1OC01501,V1NH00501,2,SR,0
V1OC02303,V1OC03601,0,SR,1
V1OC02602,V1NH02201,1,SR,1
V1OC02702,V1OC06601,0,SR,1
V1OC03002,V1OC03003,2,SR,1
V1OC03601,V1NH01103,1,SR,1
V1OC03601,V1OC02303,1,SR,1
V1OC05701,V1OC05502,2,SR,1
V1OC05903,V1NHXXX10,0,SR,1
V1OC05903,V1OCXXX08,0,SR,1
V1OC06503,V1OC00702,1,SR,1
V1OC07002,V1OC02702,1,SR,1
V1OC07402,V1NH02301,0,SR,0
V1OC07501,V1NH02402,0,SR,1
V1OC08902,V1OC06002,2,SR,1
V1OCXXX08,V1OC05903,1,SR,1
V1OCXXX08,V1NHXXX10,1,SR,1
V1YX00101,V1OC08201,0,SR,0
V1YX00202,V1NH00901,0,SR,0
V1YX00401,V1AY01502,1,SR,0
V1YX00501,V1NH02301,1,SR,1
V1YX00802,V1OC01302,2,SR,0
V1YX00901,V1OC03401,2,SR,1
V1YX01301,V1NH02402,2,SR,1
V1YX01501,V1OC03901,1,SR,1
V1YX01701,V1OC02702,0,SR,1
V1YX01801,V1YX01901,2,SR,1
V1YX01901,V1YX01801,1,SR,1
V2AA00101,V2NH07103,0,SR,1
V2NH00502,V2NH03201,1,SR,1
V2NH00802,V2NH02601,0,SR,0
V2NH01201,V2NH04901,0,SR,1
V2NH01301,V2NH05101,0,SR,1
V2NH01402,V2NH02301,2,SR,0
V2NH01402,V2NH00101,2,SR,0
V2NH02301,V2NH08701,0,SR,1
V2NH02402,V2NH02301,2,SR,0
V2NH02501,V2NH07601,1,SR,1
V2NH02901,V2NH05801,0,SR,1
V2NH03001,V2NH06401,0,SR,1
V2NH03101,V2NH07201,1,SR,1
V2NH03701,V2NH03001,0,SR,1
V2NH03901,V2NH00601,0,SR,1
V2NH04101,V2NH01204,1,SR,1
V2NH04202,V2NH01204,0,SR,0
V2NH04701,V2NH03001,0,SR,1
V2NH04701,V2NH07103,0,SR,1
V2NH05001,V2NH00502,2,SR,1
V2NH05002,V2NH06701,0,SR,0
V2NH05501,V2NH01201,0,SR,1
V2NH06201,V2NH00803,2,SR,1
V1NHXXX07,V1NHXXX07,2,Bro_R,1
V1OC03601,V1OC03601,1,Bro_R,1
V1OC02303,V1OC02303,0,Bro_R,1
V1OC01201,V1OC01201,2,Bro_R,0
V1OC00408,V1OC00408,2,Bro_R,1
V1OC07501,V1OC07501,1,Bro_R,1
V1NH00501,V1NH00501,0,Bro_R,1
V1OC05903,V1OC05903,0,Bro_R,1
V1OCXXX08,V1OCXXX08,2,Bro_R,1
V1OC06503,V1OC06503,1,Bro_R,1
V1AY01001,V1AY01001,2,Bro_R,1
V1NH01702,V1NH01702,0,Bro_R,1
V1YX00303,V1YX00303,2,Bro_R,1
V1NH00501,V1NH00501,0,Bro_R,0
V1OC03601,V1OC03601,0,Bro_R,1
V1NH02201,V1NH02201,2,Bro_R,1
V1OC06601,V1OC06601,1,Bro_R,1
V1OC03003,V1OC03003,2,Bro_R,1
V1NH01103,V1NH01103,1,Bro_R,1
V1OC02303,V1OC02303,0,Bro_R,1
V1OC05502,V1OC05502,1,Bro_R,1
V1NHXXX10,V1NHXXX10,2,Bro_R,1
V1OCXXX08,V1OCXXX08,0,Bro_R,1
V1OC00702,V1OC00702,1,Bro_R,1
V1OC02702,V1OC02702,0,Bro_R,1
V1NH02301,V1NH02301,1,Bro_R,0
V1NH02402,V1NH02402,2,Bro_R,1
V1OC06002,V1OC06002,2,Bro_R,1
V1OC05903,V1OC05903,2,Bro_R,1
V1NHXXX10,V1NHXXX10,2,Bro_R,1
V1OC08201,V1OC08201,0,Bro_R,0
V1NH00901,V1NH00901,1,Bro_R,0
V1AY01502,V1AY01502,2,Bro_R,0
V1NH02301,V1NH02301,2,Bro_R,1
V1OC01302,V1OC01302,0,Bro_R,0
V1OC03401,V1OC03401,2,Bro_R,1
V1NH02402,V1NH02402,2,Bro_R,1
V1OC03901,V1OC03901,2,Bro_R,1
V1OC02702,V1OC02702,2,Bro_R,1
V1YX01901,V1YX01901,1,Bro_R,1
V1YX01801,V1YX01801,0,Bro_R,1
V2NH07103,V2NH07103,1,Bro_R,1
V2NH03201,V2NH03201,2,Bro_R,1
V2NH02601,V2NH02601,0,Bro_R,0
V2NH04901,V2NH04901,0,Bro_R,1
V2NH05101,V2NH05101,0,Bro_R,1
V2NH02301,V2NH02301,1,Bro_R,0
V2NH00101,V2NH00101,2,Bro_R,0
V2NH08701,V2NH08701,0,Bro_R,1
V2NH02301,V2NH02301,2,Bro_R,0
V2NH07601,V2NH07601,1,Bro_R,1
V2NH05801,V2NH05801,1,Bro_R,1
V2NH06401,V2NH06401,0,Bro_R,1
V2NH07201,V2NH07201,0,Bro_R,1
V2NH03001,V2NH03001,0,Bro_R,1
V2NH00601,V2NH00601,0,Bro_R,1
V2NH01204,V2NH01204,0,Bro_R,1
V2NH01204,V2NH01204,0,Bro_R,0
V2NH03001,V2NH03001,1,Bro_R,1
V2NH07103,V2NH07103,0,Bro_R,1
V2NH00502,V2NH00502,0,Bro_R,1
V2NH06701,V2NH06701,2,Bro_R,0
V2NH01201,V2NH01201,2,Bro_R,1
